Date,AMZN,GOOGL,AAPL,LLY,MSFT,FB,BRK-B,FCX,GS,MSCI
2020-07-08,3081.110107,1503.599976,95.342499,169.130005,212.830002,243.580002,181.199997,12.82,202.25,370.709991
2020-07-09,3182.6298829999996,1518.660034,95.752502,166.449997,214.32000699999998,244.5,178.800003,12.89,196.830002,375.140015
2020-07-10,3200.0,1539.01001,95.91999799999999,163.360001,213.669998,245.07000699999998,182.899994,12.97,205.559998,370.950012
2020-07-13,3104.0,1512.22998,95.477501,162.080002,207.070007,239.0,184.130005,13.02,208.880005,363.869995
2020-07-14,3084.0,1520.859985,97.057503,163.880005,208.350006,239.729996,189.71000700000002,13.5,214.00999500000003,369.079987
2020-07-15,3008.8701170000004,1516.880005,97.724998,165.449997,208.03999299999998,240.27999900000003,190.559998,13.53,216.899994,376.25
2020-07-16,2999.899902,1514.920044,96.522499,165.0,203.919998,240.92999300000002,191.009995,13.47,214.669998,370.160004
2020-07-17,2961.969971,1516.849976,96.327499,165.96000700000002,202.880005,242.02999900000003,190.759995,13.58,211.41000400000001,379.619995
2020-07-20,3196.840088,1563.839966,98.35749799999999,167.03999299999998,211.600006,245.419998,190.479996,13.43,211.710007,389.019989
2020-07-21,3138.290039,1555.920044,97.0,165.300003,208.75,241.75,192.270004,13.38,212.020004,389.049988
2020-07-22,3099.909912,1564.849976,97.272499,164.83999599999999,211.75,239.86999500000002,192.100006,13.62,206.0,390.119995
2020-07-23,2986.550049,1516.75,92.845001,161.520004,202.53999299999998,232.600006,193.25,13.32,203.020004,384.980011
2020-07-24,3008.909912,1508.209961,92.614998,159.53999299999998,201.300003,230.710007,194.520004,13.12,201.470001,385.649994
2020-07-27,3055.209961,1529.430054,94.809998,160.5,203.850006,233.5,192.139999,13.56,203.020004,394.0
2020-07-28,3000.330078,1503.650024,93.252502,162.649994,202.020004,230.11999500000002,194.119995,13.23,201.619995,376.25
2020-07-29,3033.530029,1523.51001,95.040001,161.75,204.059998,233.289993,196.41000400000001,13.3,202.580002,383.019989
2020-07-30,3051.8798829999996,1538.369995,96.190002,153.0,203.899994,234.5,194.300003,12.94,199.529999,374.540009
2020-07-31,3164.679932,1487.949951,106.260002,150.28999299999998,205.009995,253.669998,195.779999,12.92,197.96000700000002,375.980011
2020-08-03,3111.889893,1482.76001,108.9375,152.83999599999999,216.539993,251.960007,199.259995,13.1,199.389999,371.910004
2020-08-04,3138.830078,1473.300049,109.665001,154.850006,213.289993,249.830002,200.240005,12.95,201.639999,364.350006
2020-08-05,3205.030029,1479.089966,110.0625,154.33999599999999,212.940002,249.11999500000002,203.619995,13.97,204.520004,364.579987
2020-08-06,3225.0,1504.949951,113.902496,152.880005,216.350006,265.27999900000003,205.020004,14.56,204.25,372.72000099999997
2020-08-07,3167.459961,1498.369995,111.112503,152.929993,212.479996,268.440002,209.479996,13.96,208.270004,362.369995
2020-08-10,3148.159912,1496.819946,112.727501,153.0,208.25,263.0,212.580002,14.38,209.380005,354.309998
2020-08-11,3080.669922,1480.540039,109.375,150.630005,203.380005,256.130005,212.66000400000001,13.96,211.059998,350.52999900000003
2020-08-12,3162.23999,1507.23999,113.010002,152.550003,209.190002,259.890015,213.24000499999997,13.97,212.13000499999998,354.769989
2020-08-13,3161.02002,1516.650024,115.010002,150.46000700000002,208.699997,261.299988,211.979996,13.79,208.389999,359.869995
2020-08-14,3148.02002,1504.630005,114.907501,150.08999599999999,208.899994,261.23999,210.960007,13.78,207.970001,356.410004
2020-08-17,3182.409912,1516.23999,114.60749799999999,151.529999,210.27999900000003,261.160004,206.779999,14.1,203.070007,361.660004
2020-08-18,3312.48999,1555.780029,115.5625,153.110001,211.49000499999997,262.339996,208.330002,14.41,201.309998,366.200012
2020-08-19,3260.47998,1544.609985,115.707497,152.28999299999998,209.699997,262.589996,207.21000700000002,14.94,203.020004,371.399994
2020-08-20,3297.3701170000004,1576.25,118.275002,151.33999599999999,214.580002,269.01001,206.119995,14.7,201.850006,368.73999
2020-08-21,3284.719971,1575.569946,124.370003,149.259995,213.020004,267.01001,207.429993,14.36,202.429993,363.690002
2020-08-24,3307.459961,1585.150024,125.85749799999999,149.520004,213.690002,271.390015,212.61000099999998,14.56,207.33999599999999,363.98999
2020-08-25,3346.48999,1605.849976,124.824997,149.679993,216.47000099999997,280.820007,213.350006,14.46,206.0,365.52999900000003
2020-08-26,3441.850098,1644.130005,126.522499,149.259995,221.149994,303.910004,214.66000400000001,15.01,207.220001,371.600006
2020-08-27,3400.0,1628.52002,125.010002,148.970001,226.580002,293.22000099999997,216.86999500000002,14.9,210.149994,369.890015
2020-08-28,3401.8000490000004,1639.430054,124.807503,147.33999599999999,228.91000400000001,293.660004,218.55000299999998,15.65,207.71000700000002,373.679993
2020-08-31,3450.959961,1629.530029,129.03999299999998,148.389999,225.52999900000003,293.200012,218.039993,15.61,204.869995,373.269989
2020-09-01,3499.1201170000004,1655.079956,134.179993,147.300003,227.270004,295.440002,218.55000299999998,16.18,205.46000700000002,377.559998
2020-09-02,3531.4499509999996,1717.390015,131.399994,149.550003,231.649994,302.5,221.67999300000002,16.27,210.039993,378.589996
2020-09-03,3368.0,1629.51001,120.879997,149.020004,217.30000299999998,291.119995,218.149994,15.56,207.559998,360.459991
